# MEAN_SAMPLE_SIZE = 103764
# TOTAL_GENES = 19275
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BIDUS_METASTASIS_UP                      SET     197    -0.010411   -0.0010471     0.055497       0.5744 BIDUS_METASTASIS_UP
BILANGES_RAPAMYCIN_SENSITIVE...1         SET      36     0.010417   0.00044978      0.13661      0.46961 BILANGES_RAPAMYCIN_SENSITIVE_GENES
BILANGES_RAPAMYCIN_SENSITIVE...2         SET      61    -0.065546   -0.0036816      0.10307      0.73758 BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2
BILANGES_SERUM_AND_RAPAMYCIN...          SET      66      0.05984    0.0034957      0.10025      0.27529 BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES
BILANGES_SERUM_RESPONSE_TRAN...          SET      31     -0.26219    -0.010507      0.14775      0.96201 BILANGES_SERUM_RESPONSE_TRANSLATION
BILANGES_SERUM_SENSITIVE_GEN...          SET      74    -0.047689   -0.0029492     0.092011      0.69787 BILANGES_SERUM_SENSITIVE_GENES
BILANGES_SERUM_SENSITIVE_VIA...1         SET      21      -0.1853   -0.0061131      0.16974       0.8625 BILANGES_SERUM_SENSITIVE_VIA_TSC1
BILANGES_SERUM_SENSITIVE_VIA...2         SET      30    -0.023782  -0.00093752      0.13787      0.56847 BILANGES_SERUM_SENSITIVE_VIA_TSC2
BILBAN_B_CLL_LPL_DN                      SET      38    -0.069519   -0.0030837      0.13571      0.69577 BILBAN_B_CLL_LPL_DN
BILBAN_B_CLL_LPL_UP                      SET      59    -0.038123    -0.002106      0.10106        0.647 BILBAN_B_CLL_LPL_UP
BILD_CTNNB1_ONCOGENIC_SIGNAT...          SET      74      0.02812     0.001739     0.092556      0.38064 BILD_CTNNB1_ONCOGENIC_SIGNATURE
BILD_E2F3_ONCOGENIC_SIGNATURE            SET     237    0.0039312   0.00043324     0.053332      0.47062 BILD_E2F3_ONCOGENIC_SIGNATURE
BILD_HRAS_ONCOGENIC_SIGNATURE            SET     237    -0.067078   -0.0073924     0.053297       0.8959 BILD_HRAS_ONCOGENIC_SIGNATURE
BILD_MYC_ONCOGENIC_SIGNATURE             SET     196    -0.017504   -0.0017562     0.055036      0.62477 BILD_MYC_ONCOGENIC_SIGNATURE
BILD_SRC_ONCOGENIC_SIGNATURE             SET      57     -0.14216   -0.0077194      0.10397      0.91422 BILD_SRC_ONCOGENIC_SIGNATURE
BIOCARTA_41BB_PATHWAY                    SET      18       0.1308    0.0039954       0.1949      0.25108 BIOCARTA_41BB_PATHWAY
BIOCARTA_ACE2_PATHWAY                    SET       9      0.24445    0.0052811       0.2686      0.18139 BIOCARTA_ACE2_PATHWAY
BIOCARTA_ACETAMINOPHEN_PATHW...          SET       5      0.41415    0.0066697      0.40168      0.15127 BIOCARTA_ACETAMINOPHEN_PATHWAY
BIOCARTA_ACH_PATHWAY                     SET      14      0.28037    0.0075537       0.2168     0.097975 BIOCARTA_ACH_PATHWAY
BIOCARTA_ACTINY_PATHWAY                  SET      11     -0.14384   -0.0034353      0.25581      0.71304 BIOCARTA_ACTINY_PATHWAY
BIOCARTA_AGPCR_PATHWAY                   SET      11     -0.30326   -0.0072427      0.22395      0.91215 BIOCARTA_AGPCR_PATHWAY
BIOCARTA_AGR_PATHWAY                     SET      30      0.18294    0.0072117      0.14168     0.098329 BIOCARTA_AGR_PATHWAY
BIOCARTA_AHSP_PATHWAY                    SET      11      0.14792    0.0035327      0.20743       0.2379 BIOCARTA_AHSP_PATHWAY
BIOCARTA_AKAP13_PATHWAY                  SET      11      0.11562    0.0027614      0.21986      0.29948 BIOCARTA_AKAP13_PATHWAY
BIOCARTA_AKAP95_PATHWAY                  SET      11     -0.22651   -0.0054097      0.23475       0.8327 BIOCARTA_AKAP95_PATHWAY
BIOCARTA_AKAPCENTROSOME_PATH...          SET      14     -0.17008   -0.0045823      0.20172      0.80043 BIOCARTA_AKAPCENTROSOME_PATHWAY
BIOCARTA_AKT_PATHWAY                     SET      20      0.26932    0.0086709      0.20991     0.099752 BIOCARTA_AKT_PATHWAY
BIOCARTA_ALK_PATHWAY                     SET      37      0.13856    0.0060649      0.13918      0.15975 BIOCARTA_ALK_PATHWAY
BIOCARTA_ALTERNATIVE_PATHWAY             SET       8    -0.059193   -0.0012057      0.28546      0.58213 BIOCARTA_ALTERNATIVE_PATHWAY
BIOCARTA_AMAN_PATHWAY                    SET      15     0.068726    0.0019165       0.2375      0.38615 BIOCARTA_AMAN_PATHWAY
BIOCARTA_AMI_PATHWAY                     SET      18      0.19572    0.0059784      0.19764      0.16103 BIOCARTA_AMI_PATHWAY
BIOCARTA_ARAP_PATHWAY                    SET      17      0.19868     0.005898      0.16615       0.1159 BIOCARTA_ARAP_PATHWAY
BIOCARTA_ARENRF2_PATHWAY                 SET      20      0.16625    0.0053526      0.19331       0.1949 BIOCARTA_ARENRF2_PATHWAY
BIOCARTA_ARF_PATHWAY                     SET      17      0.20019    0.0059427        0.187       0.1422 BIOCARTA_ARF_PATHWAY
BIOCARTA_ASBCELL_PATHWAY                 SET      12     -0.21231   -0.0052958       0.2356      0.81623 BIOCARTA_ASBCELL_PATHWAY
BIOCARTA_AT1R_PATHWAY                    SET      26     -0.03236   -0.0011877      0.16295       0.5787 BIOCARTA_AT1R_PATHWAY
BIOCARTA_ATM_PATHWAY                     SET      20      0.44432     0.014305      0.18194     0.007306 BIOCARTA_ATM_PATHWAY
BIOCARTA_ATRBRCA_PATHWAY                 SET      22     -0.18124   -0.0061196      0.18124      0.84134 BIOCARTA_ATRBRCA_PATHWAY
BIOCARTA_BAD_PATHWAY                     SET      24     -0.15845   -0.0055879      0.15735      0.84302 BIOCARTA_BAD_PATHWAY
BIOCARTA_BARD1_PATHWAY                   SET       8     -0.60507    -0.012325      0.42755      0.92149 BIOCARTA_BARD1_PATHWAY
BIOCARTA_BARRESTIN_PATHWAY               SET      12      0.55911     0.013946      0.22533    0.0065508 BIOCARTA_BARRESTIN_PATHWAY
BIOCARTA_BARRESTIN_SRC_PATHW...          SET      17      0.13078    0.0038823      0.19554      0.25181 BIOCARTA_BARRESTIN_SRC_PATHWAY
BIOCARTA_BARR_MAPK_PATHWAY               SET      14      0.19644    0.0052925      0.21282        0.178 BIOCARTA_BARR_MAPK_PATHWAY
BIOCARTA_BBCELL_PATHWAY                  SET       8      0.13473    0.0027443      0.31059      0.33222 BIOCARTA_BBCELL_PATHWAY
BIOCARTA_BCELLSURVIVAL_PATHW...          SET      14      0.16395    0.0044171      0.20602      0.21308 BIOCARTA_BCELLSURVIVAL_PATHWAY
BIOCARTA_BCR_PATHWAY                     SET      31     0.055295    0.0022158      0.14655      0.35298 BIOCARTA_BCR_PATHWAY
BIOCARTA_BIOPEPTIDES_PATHWAY             SET      28     -0.14866   -0.0056621      0.15373      0.83323 BIOCARTA_BIOPEPTIDES_PATHWAY
BIOCARTA_BLYMPHOCYTE_PATHWAY             SET      12      0.13419    0.0033474      0.23009      0.27987 BIOCARTA_BLYMPHOCYTE_PATHWAY
BIOCARTA_BOTULIN_PATHWAY                 SET       5    -0.024521   -0.0003949      0.37788      0.52587 BIOCARTA_BOTULIN_PATHWAY
BIOCARTA_BTG2_PATHWAY                    SET      11      0.23678    0.0056549      0.28254      0.20101 BIOCARTA_BTG2_PATHWAY
BIOCARTA_CACAM_PATHWAY                   SET       9    0.0079656   0.00017209      0.27502      0.48845 BIOCARTA_CACAM_PATHWAY
BIOCARTA_CALCINEURIN_PATHWAY             SET      17       0.2257    0.0067001      0.20453      0.13492 BIOCARTA_CALCINEURIN_PATHWAY
BIOCARTA_CARDIACEGF_PATHWAY              SET      17   -0.0019476  -5.7816e-05        0.206      0.50377 BIOCARTA_CARDIACEGF_PATHWAY
BIOCARTA_CARM1_PATHWAY                   SET      12      -0.3882   -0.0096833      0.23057      0.95387 BIOCARTA_CARM1_PATHWAY
BIOCARTA_CARM_ER_PATHWAY                 SET      23      0.16867    0.0058232      0.18101      0.17571 BIOCARTA_CARM_ER_PATHWAY
BIOCARTA_CASPASE_PATHWAY                 SET      21     -0.12549   -0.0041399      0.16508      0.77642 BIOCARTA_CASPASE_PATHWAY
BIOCARTA_CB1R_PATHWAY                    SET       7    -0.075916   -0.0014465      0.30852      0.59718 BIOCARTA_CB1R_PATHWAY
BIOCARTA_CBL_PATHWAY                     SET      11      0.24478    0.0058461      0.23779      0.15166 BIOCARTA_CBL_PATHWAY
BIOCARTA_CCR3_PATHWAY                    SET      18     -0.14376   -0.0043913      0.18392      0.78279 BIOCARTA_CCR3_PATHWAY
BIOCARTA_CCR5_PATHWAY                    SET      16     0.042978    0.0012378      0.18749      0.40935 BIOCARTA_CCR5_PATHWAY
BIOCARTA_CD40_PATHWAY                    SET      12      0.38478     0.009598      0.24752      0.06004 BIOCARTA_CD40_PATHWAY
BIOCARTA_CDC25_PATHWAY                   SET       9     -0.30314   -0.0065491      0.25549      0.88228 BIOCARTA_CDC25_PATHWAY
BIOCARTA_CDC42RAC_PATHWAY                SET       8      0.22899    0.0046642       0.2648      0.19359 BIOCARTA_CDC42RAC_PATHWAY
BIOCARTA_CDK5_PATHWAY                    SET      13     -0.36599   -0.0095018      0.21883      0.95278 BIOCARTA_CDK5_PATHWAY
BIOCARTA_CDMAC_PATHWAY                   SET      16     0.044828     0.001291      0.19678       0.4099 BIOCARTA_CDMAC_PATHWAY
BIOCARTA_CELL2CELL_PATHWAY               SET      10      0.21077    0.0047996      0.23918       0.1891 BIOCARTA_CELL2CELL_PATHWAY
BIOCARTA_CELLCYCLE_PATHWAY               SET      23      0.13506    0.0046629      0.18467      0.23228 BIOCARTA_CELLCYCLE_PATHWAY
BIOCARTA_CERAMIDE_PATHWAY                SET      20     -0.12796     -0.00412       0.1697      0.77459 BIOCARTA_CERAMIDE_PATHWAY
BIOCARTA_CFTR_PATHWAY                    SET      11      -0.1585   -0.0037855      0.22685      0.75763 BIOCARTA_CFTR_PATHWAY
BIOCARTA_CHEMICAL_PATHWAY                SET      18     -0.13797   -0.0042143      0.16806      0.79416 BIOCARTA_CHEMICAL_PATHWAY
BIOCARTA_CHREBP_PATHWAY                  SET      19     -0.18848    -0.005915      0.18055      0.85173 BIOCARTA_CHREBP_PATHWAY
BIOCARTA_CIRCADIAN_PATHWAY               SET       6      0.28589    0.0050433      0.34094      0.20087 BIOCARTA_CIRCADIAN_PATHWAY
BIOCARTA_CK1_PATHWAY                     SET      16     -0.23281   -0.0067048      0.17476      0.90858 BIOCARTA_CK1_PATHWAY
BIOCARTA_CLASSIC_PATHWAY                 SET      12     0.021445   0.00053493      0.25629      0.46666 BIOCARTA_CLASSIC_PATHWAY
BIOCARTA_COMP_PATHWAY                    SET      17     0.063692    0.0018907      0.20346      0.37712 BIOCARTA_COMP_PATHWAY
BIOCARTA_CPSF_PATHWAY                    SET       9      0.21484    0.0046415       0.2156      0.15951 BIOCARTA_CPSF_PATHWAY
BIOCARTA_CREB_PATHWAY                    SET      22    -0.049604   -0.0016749      0.16668      0.61699 BIOCARTA_CREB_PATHWAY
BIOCARTA_CREM_PATHWAY                    SET       6      -0.2026   -0.0035741      0.35195      0.71757 BIOCARTA_CREM_PATHWAY
BIOCARTA_CSK_PATHWAY                     SET      20     -0.15955    -0.005137      0.17636      0.81719 BIOCARTA_CSK_PATHWAY
BIOCARTA_CTBP1_PATHWAY                   SET       8      0.36647    0.0074647      0.24797     0.069731 BIOCARTA_CTBP1_PATHWAY
BIOCARTA_CTCF_PATHWAY                    SET      24      0.18662    0.0065812      0.18267      0.15349 BIOCARTA_CTCF_PATHWAY
BIOCARTA_CTLA4_PATHWAY                   SET      20      0.09942    0.0032009      0.19494      0.30503 BIOCARTA_CTLA4_PATHWAY
BIOCARTA_CTL_PATHWAY                     SET      13      0.25227    0.0065494      0.21577      0.12118 BIOCARTA_CTL_PATHWAY
BIOCARTA_CXCR4_PATHWAY                   SET      19    -0.022184  -0.00069618      0.17874      0.54939 BIOCARTA_CXCR4_PATHWAY
BIOCARTA_CYTOKINE_PATHWAY                SET      19     -0.25916   -0.0081328      0.17853      0.92669 BIOCARTA_CYTOKINE_PATHWAY
BIOCARTA_D4GDI_PATHWAY                   SET      12     0.036066   0.00089964       0.2241      0.43607 BIOCARTA_D4GDI_PATHWAY
BIOCARTA_DC_PATHWAY                      SET      16     -0.19819   -0.0057079      0.23131      0.80423 BIOCARTA_DC_PATHWAY
BIOCARTA_DEATH_PATHWAY                   SET      27      0.10572    0.0039543      0.15193      0.24325 BIOCARTA_DEATH_PATHWAY
BIOCARTA_DICER_PATHWAY                   SET       5     -0.34012   -0.0054775       0.3659      0.82369 BIOCARTA_DICER_PATHWAY
BIOCARTA_DNAFRAGMENT_PATHWAY             SET      10      0.41643    0.0094829      0.29507     0.079091 BIOCARTA_DNAFRAGMENT_PATHWAY
BIOCARTA_DREAM_PATHWAY                   SET      13     -0.12488    -0.003242      0.21403       0.7202 BIOCARTA_DREAM_PATHWAY
BIOCARTA_DSP_PATHWAY                     SET       8    -0.047152  -0.00096043      0.27082      0.56911 BIOCARTA_DSP_PATHWAY
BIOCARTA_ECM_PATHWAY                     SET      19      -0.1503   -0.0047168      0.17122      0.80998 BIOCARTA_ECM_PATHWAY
BIOCARTA_EDG1_PATHWAY                    SET      22      0.14496    0.0048946      0.17362      0.20189 BIOCARTA_EDG1_PATHWAY
BIOCARTA_EEA1_PATHWAY                    SET       7    0.0089743   0.00017099      0.28952      0.48764 BIOCARTA_EEA1_PATHWAY
BIOCARTA_EFP_PATHWAY                     SET      16     -0.37687    -0.010854      0.21408      0.96082 BIOCARTA_EFP_PATHWAY
BIOCARTA_EGFR_SMRTE_PATHWAY              SET      11     0.038472   0.00091882      0.26581      0.44246 BIOCARTA_EGFR_SMRTE_PATHWAY
BIOCARTA_EGF_PATHWAY                     SET      26    -0.006081  -0.00022319      0.16548      0.51466 BIOCARTA_EGF_PATHWAY
BIOCARTA_EICOSANOID_PATHWAY              SET      21     -0.11304   -0.0037293      0.17549      0.74026 BIOCARTA_EICOSANOID_PATHWAY
BIOCARTA_EIF2_PATHWAY                    SET       9    -0.027538  -0.00059492      0.22625      0.54844 BIOCARTA_EIF2_PATHWAY
BIOCARTA_EIF4_PATHWAY                    SET      24     0.038596    0.0013611      0.19215      0.42041 BIOCARTA_EIF4_PATHWAY
BIOCARTA_EIF_PATHWAY                     SET      14     -0.12211   -0.0032898       0.2057      0.72362 BIOCARTA_EIF_PATHWAY
BIOCARTA_EOSINOPHILS_PATHWAY             SET       8      0.12119    0.0024685      0.29615       0.3412 BIOCARTA_EOSINOPHILS_PATHWAY
BIOCARTA_EPHA4_PATHWAY                   SET       8      0.18603    0.0037893      0.26543       0.2417 BIOCARTA_EPHA4_PATHWAY
BIOCARTA_EPONFKB_PATHWAY                 SET      10      0.38997    0.0088805      0.25641     0.064153 BIOCARTA_EPONFKB_PATHWAY
BIOCARTA_EPO_PATHWAY                     SET      17    -0.013936  -0.00041369      0.20228      0.52746 BIOCARTA_EPO_PATHWAY
BIOCARTA_ERAD_PATHWAY                    SET      19      0.16102    0.0050531      0.17594      0.18005 BIOCARTA_ERAD_PATHWAY
BIOCARTA_ERBB3_PATHWAY                   SET       5     -0.19871   -0.0032001      0.35153      0.71405 BIOCARTA_ERBB3_PATHWAY
BIOCARTA_ERBB4_PATHWAY                   SET       7     -0.34368   -0.0065484      0.28201       0.8885 BIOCARTA_ERBB4_PATHWAY
BIOCARTA_ERK5_PATHWAY                    SET      14      0.16329    0.0043992      0.23146      0.24027 BIOCARTA_ERK5_PATHWAY
BIOCARTA_ERK_PATHWAY                     SET      26    -0.090601   -0.0033254      0.16393      0.70975 BIOCARTA_ERK_PATHWAY
BIOCARTA_ERYTH_PATHWAY                   SET      14       0.2183    0.0058813       0.2025      0.14052 BIOCARTA_ERYTH_PATHWAY
BIOCARTA_ETC_PATHWAY                     SET       8      0.24637    0.0050182      0.29223       0.1996 BIOCARTA_ETC_PATHWAY
BIOCARTA_ETS_PATHWAY                     SET      17      0.25947    0.0077026      0.20319      0.10081 BIOCARTA_ETS_PATHWAY
BIOCARTA_EXTRINSIC_PATHWAY               SET      13    -0.015224  -0.00039524      0.23185      0.52618 BIOCARTA_EXTRINSIC_PATHWAY
BIOCARTA_FAS_PATHWAY                     SET      30    0.0018143   7.1521e-05      0.14388      0.49497 BIOCARTA_FAS_PATHWAY
BIOCARTA_FBW7_PATHWAY                    SET       9     0.025959   0.00056083      0.29027      0.46437 BIOCARTA_FBW7_PATHWAY
BIOCARTA_FCER1_PATHWAY                   SET      37     0.011511   0.00050386      0.13872      0.46693 BIOCARTA_FCER1_PATHWAY
BIOCARTA_FEEDER_PATHWAY                  SET       9      0.02197   0.00047463      0.24592      0.46441 BIOCARTA_FEEDER_PATHWAY
BIOCARTA_FIBRINOLYSIS_PATHWAY            SET      12      0.21058    0.0052526      0.21992      0.16916 BIOCARTA_FIBRINOLYSIS_PATHWAY
BIOCARTA_FLUMAZENIL_PATHWAY              SET       8      0.35736    0.0072791      0.27596     0.097672 BIOCARTA_FLUMAZENIL_PATHWAY
BIOCARTA_FMLP_PATHWAY                    SET      33     0.021794   0.00090104      0.14256      0.43925 BIOCARTA_FMLP_PATHWAY
BIOCARTA_FOSB_PATHWAY                    SET       5     -0.17459   -0.0028116      0.32332      0.70539 BIOCARTA_FOSB_PATHWAY
BIOCARTA_FREE_PATHWAY                    SET       9      0.35427    0.0076536      0.22939     0.061258 BIOCARTA_FREE_PATHWAY
BIOCARTA_FXR_PATHWAY                     SET       7      0.62357     0.011881        0.308     0.021465 BIOCARTA_FXR_PATHWAY
BIOCARTA_G1_PATHWAY                      SET      28      0.25241    0.0096137      0.16232      0.05998 BIOCARTA_G1_PATHWAY
BIOCARTA_G2_PATHWAY                      SET      24    -0.036582   -0.0012901      0.16701      0.58669 BIOCARTA_G2_PATHWAY
BIOCARTA_GABA_PATHWAY                    SET       9    -0.059554   -0.0012866       0.2675      0.58809 BIOCARTA_GABA_PATHWAY
BIOCARTA_GATA3_PATHWAY                   SET      14     -0.35933   -0.0096807      0.20993      0.95651 BIOCARTA_GATA3_PATHWAY
BIOCARTA_GCR_PATHWAY                     SET      17      0.16249    0.0048236      0.20229      0.21093 BIOCARTA_GCR_PATHWAY
BIOCARTA_GHRELIN_PATHWAY                 SET      13     -0.12496   -0.0032443      0.24167      0.69744 BIOCARTA_GHRELIN_PATHWAY
BIOCARTA_GH_PATHWAY                      SET      26     -0.15397   -0.0056511      0.16713      0.82153 BIOCARTA_GH_PATHWAY
BIOCARTA_GLEEVEC_PATHWAY                 SET      23     0.012918   0.00044599      0.17649      0.47083 BIOCARTA_GLEEVEC_PATHWAY
BIOCARTA_GPCR_PATHWAY                    SET      28    -0.029535   -0.0011249       0.1478      0.57919 BIOCARTA_GPCR_PATHWAY
BIOCARTA_GRANULOCYTES_PATHWAY            SET      14     0.051918    0.0013988      0.17661      0.38439 BIOCARTA_GRANULOCYTES_PATHWAY
BIOCARTA_GSK3_PATHWAY                    SET      20      0.26954    0.0086781      0.17517     0.061948 BIOCARTA_GSK3_PATHWAY
BIOCARTA_HBX_PATHWAY                     SET       7     0.081861    0.0015598      0.35472      0.40875 BIOCARTA_HBX_PATHWAY
BIOCARTA_HCMV_PATHWAY                    SET      17     -0.08798   -0.0026117      0.20512      0.66601 BIOCARTA_HCMV_PATHWAY
BIOCARTA_HDAC_PATHWAY                    SET      25     -0.20735    -0.007463      0.16404      0.89688 BIOCARTA_HDAC_PATHWAY
BIOCARTA_HER2_PATHWAY                    SET      23   -0.0014303  -4.9378e-05      0.17127      0.50333 BIOCARTA_HER2_PATHWAY
BIOCARTA_HES_PATHWAY                     SET      12     0.039769     0.000992      0.24858      0.43645 BIOCARTA_HES_PATHWAY
BIOCARTA_HIF_PATHWAY                     SET      15     -0.12925   -0.0036043      0.21937      0.72212 BIOCARTA_HIF_PATHWAY
BIOCARTA_HIVNEF_PATHWAY                  SET      54   -0.0011627  -6.1456e-05      0.10245      0.50453 BIOCARTA_HIVNEF_PATHWAY
BIOCARTA_HSP27_PATHWAY                   SET      14      0.28651    0.0077191      0.16498     0.041229 BIOCARTA_HSP27_PATHWAY
BIOCARTA_HSWI_SNF_PATHWAY                SET      12     -0.23483   -0.0058577      0.22147      0.85549 BIOCARTA_HSWI_SNF_PATHWAY
BIOCARTA_IFNA_PATHWAY                    SET       9      0.21944    0.0047408      0.28912      0.22394 BIOCARTA_IFNA_PATHWAY
BIOCARTA_IFNG_PATHWAY                    SET       6     -0.07186   -0.0012677      0.31507      0.59021 BIOCARTA_IFNG_PATHWAY
BIOCARTA_IGF1MTOR_PATHWAY                SET      18    -0.037657   -0.0011502       0.1944       0.5768 BIOCARTA_IGF1MTOR_PATHWAY
BIOCARTA_IGF1R_PATHWAY                   SET      23     -0.23698   -0.0081814      0.16559       0.9238 BIOCARTA_IGF1R_PATHWAY
BIOCARTA_IGF1_PATHWAY                    SET      20     -0.18428    -0.005933      0.17977      0.84733 BIOCARTA_IGF1_PATHWAY
BIOCARTA_IL10_PATHWAY                    SET      13    -0.031036  -0.00080576      0.20379      0.56052 BIOCARTA_IL10_PATHWAY
BIOCARTA_IL12_PATHWAY                    SET      18      0.14871    0.0045424      0.19732      0.22553 BIOCARTA_IL12_PATHWAY
BIOCARTA_IL17_PATHWAY                    SET      15    -0.027277  -0.00076065      0.22641      0.54795 BIOCARTA_IL17_PATHWAY
BIOCARTA_IL1R_PATHWAY                    SET      29      0.28616     0.011092      0.14775     0.026398 BIOCARTA_IL1R_PATHWAY
BIOCARTA_IL22BP_PATHWAY                  SET       9      0.27607    0.0059643      0.28211       0.1639 BIOCARTA_IL22BP_PATHWAY
BIOCARTA_IL2RB_PATHWAY                   SET      35      0.15326    0.0065249      0.13827      0.13385 BIOCARTA_IL2RB_PATHWAY
BIOCARTA_IL2_PATHWAY                     SET      20     0.054002    0.0017386       0.1756      0.37922 BIOCARTA_IL2_PATHWAY
BIOCARTA_IL3_PATHWAY                     SET      13    -0.021389  -0.00055529      0.22716      0.53751 BIOCARTA_IL3_PATHWAY
BIOCARTA_IL4_PATHWAY                     SET      10      0.41406     0.009429      0.25844     0.054567 BIOCARTA_IL4_PATHWAY
BIOCARTA_IL5_PATHWAY                     SET      11     -0.24401   -0.0058277      0.24485      0.84051 BIOCARTA_IL5_PATHWAY
BIOCARTA_IL6_PATHWAY                     SET      20      0.15035    0.0048407      0.18089      0.20294 BIOCARTA_IL6_PATHWAY
